Datum,Totalt antal passager*,Antal skattebeslut
1 augusti,238 000,78 000
2 augusti,237 000,78 000
3 augusti,239 000,80 000
6 augusti,269 000,87 000
7 augusti,270 000,88 000
8 augusti,281 000,91 000
9 augusti,288 000,94 000
10 augusti,287 000,94 000
13 augusti,322 000,103 000
14 augusti,326 000,104 000
15 augusti,332 000,106 000
16 augusti,339 000,109 000
17 augusti,330 000,107 000
20 augusti,340 000,108 000
21 augusti,344 000,109 000
22 augusti,350 000,110 000
23 augusti,349 000,111 000
24 augusti,352 000,114 000
27 augusti,347 000,111 000
28 augusti,355 000,112 000
29 augusti,356 000,113 000
30 augusti,360 000,115 000
31 augusti,358 000,115 000
