Datum,Totalt antal passager,Antal skattebeslut
3 december,363 000,112 000
4 december,373 000,115 000
5 december,377 000,116 000
6 december,380 000,118 000
7 december,380 000,119 000
10 december,371 000,114 000
11 december,378 000,116 000
12 december,386 000,119 000
13 december,385 000,119 000
14 december,381 000,119 000
17 december,374 000,115 000
18 december,386 000,119 000
19 december,391 000,121 000
20 december,394 000,123 000
21 december,379 000,120 000
27 december,266 000,89 000
28 december,263 000,88 000
