Datum,Totalt antal passager,Antal skattebeslut
1 november,373 000,117 000
5 november,358 000,110 000
6 november,369 000,114 000
7 november,374 000,114 000
8 november,378 000,117 000
9 november,376 000,117 000
12 november,360 000,110 000
13 november,350 000,108 000
14 november,361 000,110 000
15 november,374 000,115 000
16 november,375 000,116 000
19 november,365 000,112 000
20 november,370 000,113 000
21 november,377 000,115 000
22 november,379 000,117 000
23 november,377 000,118 000
26 november,362 000,111 000
27 november,375 000,115 000
28 november,376 000,116 000
29 november,383 000,119 000
30 november,379 000,119 000
