Datum,Totalt antal passager,Antal skattebeslut
3 september,350 000,109 000
4 september,361 000,112 000
5 september,359 000,112 000
6 september,355 000,111 000
7 september,360 000,114 000
10 september,348 000,109 000
11 september,355 000,110 000
12 september,362 000,112 000
13 september,360 000,113 000
14 september,360 000,114 000
17 september,355 000,110 000
18 september,361 000,111 000
19 september,367 000,113 000
20 september,370 000,115 000
21 september,367 000,116 000
24 september,361 000,111 000
25 september,369 000,114 000
26 september,374 000,115 000
27 september,375 000,116 000
28 september,383 000,119 000
