Datum,Totalt antal passager,Antal skattebeslut
1 april,376 800,114 000
2 april,378 700,114 700
3 april,383 600,116 100
4 april,378 600,115 500
7 april,369 500,112 000
8 april,381 800,114 600
9 april,377 800,114 000
10 april,383 700,115 900
11 april,379 800,116 700
14 april,374 900,112 600
15 april,381 100,114 400
16 april,385 700,116 200
17 april,386 600,116 600
18 april,384 800,118 400
21 april,376 400,113 500
22 april,386 800,115 500
23 april,387 600,118 400
24 april,393 600,118 700
25 april,389 600,119 800
28 april,381 900,115 300
29 april,397 500,119 700
