Datum,Totalt antal passager,Antal skattebeslut
1 februari,361 800,111 800
4 februari,351 500,107 000
5 februari,363 400,109 600
6 februari,367 200,111 300
7 februari,371 200,112 300
8 februari,364 800,112 100
11 februari,357 200,108 300
12 februari,363 800,110 400
13 februari,370 800,112 700
14 februari,377 100,114 900
15 februari,367 200,113 200
18 februari,357 300,108 600
19 februari,367 300,111 200
20 februari,370 300,112 500
21 februari,374 600,114 100
22 februari,370 900,114 500
25 februari,337 400,102 600
26 februari,341 900,104 100
27 februari,346 000,105 900
28 februari,347 500,106 500
29 februari,342 500,106 400
