Datum,Totalt antal passager,Antal skattebeslut
2 januari,261 000,85 700
3 januari,258 100,83 200
4 januari,274 800,89 400
7 januari,315 200,98 300
8 januari,331 900,102 000
9 januari,339 400,104 100
10 januari,344 000,106 100
11 januari,345 000,107 700
14 januari,346 800,105 700
15 januari,351 500,107 300
16 januari,356 500,108 800
17 januari,359 900,110 200
18 januari,361 800,112 400
21 januari,351 100,108 100
22 januari,351 600,107 200
23 januari,359 600,110 000
24 januari,367 800,112 700
25 januari,366 300,113 200
28 januari,355 400,108 300
29 januari,364 300,110 400
30 januari,367 000,112 600
31 januari,366 400,112 000
