Datum,Totalt antal passager,Antal skattebeslut
2 maj,266 700,85 500
5 maj,373 400,112 600
6 maj,379 900,113 100
7 maj,389 800,115 700
8 maj,384 800,115 900
9 maj,386 500,118 400
12 maj,380 600,113 500
13 maj,385 500,114 400
14 maj,390 700,116 500
15 maj,386 700,116 100
16 maj,385 400,118 400
19 maj,372 900,111 400
20 maj,381 100,113 300
21 maj,385 800,115 200
22 maj,388 900,116 900
23 maj,386 800,119 000
26 maj,374 700,112 300
27 maj,387 300,115 900
28 maj,387 000,115 800
29 maj,355 500,107 700
30 maj,361 600,112 400
