Datum,Totalt antal passager
1 september,395 100
2 september,386 300
3 september,388 800
6 september,367 900
7 september,378 900
8 september,382 400
9 september,382 900
10 september,385 700
13 september,375 600
14 september,381 400
15 september,388 200
16 september,390 000
17 september,383 700
20 september,380 600
21 september,383 200
22 september,386 000
23 september,387 400
24 september,402 800
27 september,377 100
28 september,385 100
29 september,389 800
30 september,400 600
