Månad,"Antal dagar med trängselskatt",Totalt antal passager,"Debiterad 
trängselskatt",Tilläggsavgift
Januari,22,"7,1 miljoner",69 Mkr,"10,6 Mkr"
Februari,20,"6,8 miljoner",68 Mkr,"9,8 Mkr"
Mars,19,"6,8 miljoner","66,2 Mkr","8,7 Mkr"
April,20,"7,2 miljoner","70,8 Mkr","10,1 Mkr"
Maj,20,"7,1 miljoner","68,8 Mkr","11,3 Mkr"
Juni,17,"6,1 miljoner","59,1 Mkr","10,0 Mkr"
Augusti,22,"7,3 miljoner","70,3 Mkr","9,5 Mkr"
September,21,"7,4 miljoner","71,4 Mkr","9,2 Mkr"
Oktober,23,"8,3 miljoner","81,1 Mkr",
November,20,"7,2 miljoner","81,2 Mkr","9,3 Mkr"
December,18,"6,2 miljoner","70,8 Mkr","9,1 Mkr"
