Månad,Antal dagar med trängselskatt,Totalt antal passager,Andel passager utländska fordon,Antal skattepliktiga passager,Maxtaxa *,Skattebelagda passager
Januari,19,6 416 800,"1,8 %",5 142 400,"5,3 %",4 868 200
Februari,20,6 951 600,"1,9 %",5 560 900,"5,4 %",5 259 300
Mars,22,8 144 600,"2,0 %",6 529 600,"5,8 %",6 151 700
April,18,6 953 800,"2,4 %",5 568 500,"6,0 %",5 236 400
Maj,18,7 020 300,"2,6 %",5 595 200,"6,0 %",5 260 600
Juni,20,7 792 700,"3,1 %",6 234 800,"5,7 %",5 877 600
Augusti,21,7 678 100,"3,6 %",6 139 900,"6,0 %",5 772 600
September,22,7 983 200,"2,7 %",6 984 200,"6,5 %",6 531 700
Oktober,21,7 420 800,"2,6 %",6 640 700,"6,4 %",6 217 700
November,21,7 394 500,"2,4 %",6 628 300,"6,4 %",6 202 500
December,20,6 714 400,"2,2 %",5 719 200,"6,1 %",5 368 600
