Månad,Antal dagar med trängselskatt,Totalt antal passager,Andel passager utländska fordon,Antal skattepliktiga passager,Maxtaxa,Skattebelagda passager
Januari,22,8 415 400,"1,8 %",7 941 600,"4,83 %",7 557 300
Februari,20,7 977 200,"1,9 %",7 528 800,"5,01 %",7 152 000
Mars,21,8 695 500,"1,9 %",8 239 900,"5,21 %",7 806 000
April,18,7 648 700,"1,9 %",7 239 300,"5,12 %",6 868 400
Maj,20,8 583 700,"2,1 %",8 115 100,"5,29 %",7 686 100
Juni,17,7 282 600,"2,4 %",6 898 100,"5,12 %",6 544 600
Augusti,22,8 724 100,"2,7 %",8 257 900,"4,91 %",7 852 700
September,21,8 808 600,"2,2 %",8 330 800,"5,17 %",7 900 400
Oktober,23,9 687 300,"2,1 %",9 183 300,"5,11 %",8 713 900
November,20,8 341 200,"1,9%",7 900 200,"5,18%",7 491 200
December,18,7 217 900,"1,8%",7 899 900,"5,11",6 496 100
