DateTime;Moms;Skatt;Produktkostnad;Bruttomarginal;Total
2007-08-15;2,32;4,81;3,68;0,78;11,59
2007-09-15;2,34;4,81;3,72;0,81;11,68
2007-10-15;2,33;4,81;3,7;0,8;11,64
2007-11-15;2,43;4,81;4,11;0,79;12,14
2007-12-15;2,41;4,81;4,02;0,8;12,04
2008-01-15;2,46;5,03;4,03;0,8;12,32
2008-02-15;2,49;5,03;4,12;0,82;12,46
2008-03-15;2,5;5,03;4,17;0,81;12,51
2008-04-15;2,56;5,03;4,39;0,81;12,79
2008-05-15;2,67;5,03;4,82;0,84;13,36
2008-06-15;2,77;5,03;5,23;0,83;13,86
2008-07-15;2,73;5,03;5,09;0,82;13,67
2008-08-15;2,65;5,03;4,76;0,82;13,26
2008-09-15;2,64;5,03;4,65;0,89;13,21
2008-10-15;2,4;5,03;3,73;0,87;12,03
2008-11-15;2,17;5,03;2,94;0,7;10,84
2008-12-15;2,04;5,03;2,43;0,72;10,22
2009-01-15;2,15;5,24;2,65;0,69;10,73
2009-02-15;2,26;5,24;2,98;0,8;11,28
2009-03-15;2,3;5,24;3,13;0,84;11,51
2009-04-15;2,36;5,24;3,28;0,91;11,79
2009-05-15;2,47;5,24;3,71;0,91;12,33
2009-06-15;2,59;5,24;4,18;0,95;12,96
2009-07-15;2,48;5,24;3,85;0,85;12,42
2009-08-15;2,51;5,24;3,96;0,83;12,54
2009-09-15;2,41;5,24;3,54;0,86;12,05
2009-10-15;2,45;5,24;3,75;0,81;12,25
2009-11-15;2,49;5,24;3,89;0,84;12,46
2009-12-15;2,47;5,24;3,75;0,9;12,36
2010-01-15;2,53;5,23;3,98;0,93;12,67
2010-02-15;2,55;5,23;3,95;1,02;12,75
2010-03-15;2,63;5,23;4,24;1,05;13,15
2010-04-15;2,67;5,23;4,38;1,06;13,34
2010-05-15;2,65;5,23;4,26;1,1;13,24
2010-06-15;2,64;5,23;4,26;1,08;13,21
2010-07-15;2,58;5,23;3,99;1,08;12,88
2010-08-15;2,55;5,23;3,97;1,02;12,77
2010-09-15;2,53;5,23;3,88;1,03;12,67
2010-10-15;2,55;5,23;3,95;1,02;12,75
2010-11-15;2,58;5,23;4,09;1,01;12,91
2010-12-15;2,68;5,23;4,4;1,08;13,39
2011-01-15;2,69;5,23;4,42;1,12;13,46
2011-02-15;2,71;5,23;4,49;1,11;13,54
2011-03-15;2,81;5,23;4,88;1,14;14,06
2011-04-15;2,9;5,23;5,23;1,15;14,51
2011-05-15;2,88;5,23;5,1;1,22;14,43
2011-06-15;2,83;5,23;4,93;1,17;14,16
2011-07-15;2,88;5,23;5,18;1,1;14,39
2011-08-15;2,82;5,23;4,97;1,1;14,12
2011-09-15;2,87;5,23;5,08;1,16;14,34
2011-10-15;2,83;5,23;4,89;1,19;14,14
2011-11-15;2,79;5,23;4,78;1,16;13,96
