;;;;;;;;;;;;;;;;;;;;;
;region;Stockholm;;;;;;;;;;;;;;;;;;;
;2007M08;1939158;;;;;;;;;;;;;;;;;;;
;2007M09;1942233;;;;;;;;;;;;;;;;;;;
;2007M10;1945836;;;;;;;;;;;;;;;;;;;
;2007M11;1948086;;;;;;;;;;;;;;;;;;;
;2007M12;1949516;;;;;;;;;;;;;;;;;;;
;2008M01;1952328;;;;;;;;;;;;;;;;;;;
;2008M02;1954563;;;;;;;;;;;;;;;;;;;
;2008M03;1956697;;;;;;;;;;;;;;;;;;;
;2008M04;1959086;;;;;;;;;;;;;;;;;;;
;2008M05;1961843;;;;;;;;;;;;;;;;;;;
;2008M06;1964805;;;;;;;;;;;;;;;;;;;
;2008M07;1968015;;;;;;;;;;;;;;;;;;;
;2008M08;1971594;;;;;;;;;;;;;;;;;;;
;2008M09;1974827;;;;;;;;;;;;;;;;;;;
;2008M10;1977938;;;;;;;;;;;;;;;;;;;
;2008M11;1979901;;;;;;;;;;;;;;;;;;;
;2008M12;1981263;;;;;;;;;;;;;;;;;;;
;2009M01;1983996;;;;;;;;;;;;;;;;;;;
;2009M02;1986524;;;;;;;;;;;;;;;;;;;
;2009M03;1989422;;;;;;;;;;;;;;;;;;;
;2009M04;1992296;;;;;;;;;;;;;;;;;;;
;2009M05;1995510;;;;;;;;;;;;;;;;;;;
;2009M06;1998896;;;;;;;;;;;;;;;;;;;
;2009M07;2002471;;;;;;;;;;;;;;;;;;;
;2009M08;2007472;;;;;;;;;;;;;;;;;;;
;2009M09;2011047;;;;;;;;;;;;;;;;;;;
;2009M10;2014618;;;;;;;;;;;;;;;;;;;
;2009M11;2017147;;;;;;;;;;;;;;;;;;;
;2009M12;2019182;;;;;;;;;;;;;;;;;;;
;2010M01;2021492;;;;;;;;;;;;;;;;;;;
;2010M02;2023052;;;;;;;;;;;;;;;;;;;
;2010M03;2025751;;;;;;;;;;;;;;;;;;;
;2010M04;2028181;;;;;;;;;;;;;;;;;;;
;2010M05;2031125;;;;;;;;;;;;;;;;;;;
;2010M06;2034480;;;;;;;;;;;;;;;;;;;
;2010M07;2037523;;;;;;;;;;;;;;;;;;;
;2010M08;2042528;;;;;;;;;;;;;;;;;;;
;2010M09;2046103;;;;;;;;;;;;;;;;;;;
;2010M10;2050015;;;;;;;;;;;;;;;;;;;
;2010M11;2052496;;;;;;;;;;;;;;;;;;;
;2010M12;2054343;;;;;;;;;;;;;;;;;;;
;2011M01;2057554;;;;;;;;;;;;;;;;;;;
;2011M02;2060788;;;;;;;;;;;;;;;;;;;
;2011M03;2063945;;;;;;;;;;;;;;;;;;;
;2011M04;2067032;;;;;;;;;;;;;;;;;;;
;2011M05;2070629;;;;;;;;;;;;;;;;;;;
;2011M06;2073952;;;;;;;;;;;;;;;;;;;
;2011M07;2077395;;;;;;;;;;;;;;;;;;;
;2011M08;2081481;;;;;;;;;;;;;;;;;;;
;2011M09;2084526;;;;;;;;;;;;;;;;;;;
;2011M10;2087817;;;;;;;;;;;;;;;;;;;
;2011M11;2089972;;;;;;;;;;;;;;;;;;;
;2011M12;2091473;;;;;;;;;;;;;;;;;;;
;2012M01;2094397;;;;;;;;;;;;;;;;;;;
;2012M02;2096956;;;;;;;;;;;;;;;;;;;
;2012M03;2099619;;;;;;;;;;;;;;;;;;;
;2012M04;2102390;;;;;;;;;;;;;;;;;;;
;2012M05;2105623;;;;;;;;;;;;;;;;;;;
;2012M06;2109202;;;;;;;;;;;;;;;;;;;
;2012M07;2112737;;;;;;;;;;;;;;;;;;;
;2012M08;2116896;;;;;;;;;;;;;;;;;;;
;2012M09;2119760;;;;;;;;;;;;;;;;;;;
;2012M10;2123117;;;;;;;;;;;;;;;;;;;
;2012M11;2125199;;;;;;;;;;;;;;;;;;;
;2012M12;2127006;;;;;;;;;;;;;;;;;;;
;2013M01;2130217;;;;;;;;;;;;;;;;;;;
;2013M02;2132996;;;;;;;;;;;;;;;;;;;
;2013M03;2135865;;;;;;;;;;;;;;;;;;;
;2013M04;2138671;;;;;;;;;;;;;;;;;;;
;2013M05;2141610;;;;;;;;;;;;;;;;;;;
;2013M06;2144862;;;;;;;;;;;;;;;;;;;
;2013M07;2148325;;;;;;;;;;;;;;;;;;;
;2013M08;2151921;;;;;;;;;;;;;;;;;;;
;2013M09;2155475;;;;;;;;;;;;;;;;;;;
;2013M10;2159148;;;;;;;;;;;;;;;;;;;
;2013M11;2161144;;;;;;;;;;;;;;;;;;;
;2013M12;2163042;;;;;;;;;;;;;;;;;;;
;2014M01;2166094;;;;;;;;;;;;;;;;;;;
;2014M02;2168516;;;;;;;;;;;;;;;;;;;
;2014M03;2171459;;;;;;;;;;;;;;;;;;;
;2014M04;2174658;;;;;;;;;;;;;;;;;;;
;2014M05;2177849;;;;;;;;;;;;;;;;;;;
;2014M06;2181318;;;;;;;;;;;;;;;;;;;
;2014M07;2184933;;;;;;;;;;;;;;;;;;;
;2014M08;2188720;;;;;;;;;;;;;;;;;;;
;2014M09;2192433;;;;;;;;;;;;;;;;;;;
;2014M10;2196063;;;;;;;;;;;;;;;;;;;
;2014M11;2197607;;;;;;;;;;;;;;;;;;;
;2014M12;2198044;;;;;;;;;;;;;;;;;;;
;2015M01;2200237;;;;;;;;;;;;;;;;;;;
;2015M02;2202445;;;;;;;;;;;;;;;;;;;
;2015M03;2205105;;;;;;;;;;;;;;;;;;;
;2015M04;2207908;;;;;;;;;;;;;;;;;;;
;2015M05;2210572;;;;;;;;;;;;;;;;;;;
;2015M06;2213528;;;;;;;;;;;;;;;;;;;
;2015M07;2216633;;;;;;;;;;;;;;;;;;;
;2015M08;2220405;;;;;;;;;;;;;;;;;;;
;2015M09;2224156;;;;;;;;;;;;;;;;;;;
;2015M10;2227468;;;;;;;;;;;;;;;;;;;
