Stationsnamn;Datum;Temperatur;;;;
2007-08-01 00:00;2007-09-01 00:00;07-aug;17.8;Y;;
2007-09-01 00:00;2007-10-01 00:00;07-sep;12.2;Y;;
2007-10-01 00:00;2007-11-01 00:00;07-okt;7.7;Y;;
2007-11-01 00:00;2007-12-01 00:00;07-nov;2.4;Y;;
2007-12-01 00:00;2008-01-01 00:00;07-dec;1.8;Y;;
2008-01-01 00:00;2008-02-01 00:00;08-jan;2.2;Y;;
2008-02-01 00:00;2008-03-01 00:00;08-feb;2.9;Y;;
2008-03-01 00:00;2008-04-01 00:00;08-mar;1.7;Y;;
2008-04-01 00:00;2008-05-01 00:00;08-apr;7.4;Y;;
2008-05-01 00:00;2008-06-01 00:00;08-maj;12.0;Y;;
2008-06-01 00:00;2008-07-01 00:00;08-jun;16.5;Y;;
2008-07-01 00:00;2008-08-01 00:00;08-jul;18.8;Y;;
2008-08-01 00:00;2008-09-01 00:00;08-aug;16.1;Y;;
2008-09-01 00:00;2008-10-01 00:00;08-sep;11.4;Y;;
2008-10-01 00:00;2008-11-01 00:00;08-okt;8.4;Y;;
2008-11-01 00:00;2008-12-01 00:00;08-nov;3.3;Y;;
2008-12-01 00:00;2009-01-01 00:00;08-dec;1.5;Y;;
2009-01-01 00:00;2009-02-01 00:00;09-jan;-1.2;Y;;
2009-02-01 00:00;2009-03-01 00:00;09-feb;-1.8;Y;;
2009-03-01 00:00;2009-04-01 00:00;09-mar;1.0;Y;;
2009-04-01 00:00;2009-05-01 00:00;09-apr;8.5;Y;;
2009-05-01 00:00;2009-06-01 00:00;09-maj;12.0;Y;;
2009-06-01 00:00;2009-07-01 00:00;09-jun;14.0;Y;;
2009-07-01 00:00;2009-08-01 00:00;09-jul;17.8;Y;;
2009-08-01 00:00;2009-09-01 00:00;09-aug;17.5;Y;;
2009-09-01 00:00;2009-10-01 00:00;09-sep;14.2;Y;;
2009-10-01 00:00;2009-11-01 00:00;09-okt;5.7;Y;;
2009-11-01 00:00;2009-12-01 00:00;09-nov;5.6;Y;;
2009-12-01 00:00;2010-01-01 00:00;09-dec;-1.4;Y;;
2010-01-01 00:00;2010-02-01 00:00;10-jan;-7.0;Y;;
2010-02-01 00:00;2010-03-01 00:00;10-feb;-5.3;Y;;
2010-03-01 00:00;2010-04-01 00:00;10-mar;-0.2;Y;;
2010-04-01 00:00;2010-05-01 00:00;10-apr;6.4;Y;;
2010-05-01 00:00;2010-06-01 00:00;10-maj;11.3;Y;;
2010-06-01 00:00;2010-07-01 00:00;10-jun;15.7;Y;;
2010-07-01 00:00;2010-08-01 00:00;10-jul;21.2;Y;;
2010-08-01 00:00;2010-09-01 00:00;10-aug;17.2;Y;;
2010-09-01 00:00;2010-10-01 00:00;10-sep;12.0;Y;;
2010-10-01 00:00;2010-11-01 00:00;10-okt;6.4;Y;;
2010-11-01 00:00;2010-12-01 00:00;10-nov;0.3;Y;;
2010-12-01 00:00;2011-01-01 00:00;10-dec;-6.6;Y;;
2011-01-01 00:00;2011-02-01 00:00;11-jan;-1.9;Y;;
2011-02-01 00:00;2011-03-01 00:00;11-feb;-4.2;Y;;
2011-03-01 00:00;2011-04-01 00:00;11-mar;1.2;Y;;
2011-04-01 00:00;2011-05-01 00:00;11-apr;9.2;Y;;
2011-05-01 00:00;2011-06-01 00:00;11-maj;11.9;Y;;
2011-06-01 00:00;2011-07-01 00:00;11-jun;17.4;Y;;
2011-07-01 00:00;2011-08-01 00:00;11-jul;19.4;Y;;
2011-08-01 00:00;2011-09-01 00:00;11-aug;17.4;Y;;
2011-09-01 00:00;2011-10-01 00:00;11-sep;14.1;Y;;
2011-10-01 00:00;2011-11-01 00:00;11-okt;8.5;Y;;
2011-11-01 00:00;2011-12-01 00:00;11-nov;6.1;Y;;
2011-12-01 00:00;2012-01-01 00:00;11-dec;2.5;Y;;
2012-01-01 00:00;2012-02-01 00:00;12-jan;-1.0;Y;;
2012-02-01 00:00;2012-03-01 00:00;12-feb;-2.8;Y;;
2012-03-01 00:00;2012-04-01 00:00;12-mar;4.4;Y;;
2012-04-01 00:00;2012-05-01 00:00;12-apr;4.9;Y;;
2012-05-01 00:00;2012-06-01 00:00;12-maj;12.2;Y;;
2012-06-01 00:00;2012-07-01 00:00;12-jun;13.7;Y;;
2012-07-01 00:00;2012-08-01 00:00;12-jul;17.7;Y;;
2012-08-01 00:00;2012-09-01 00:00;12-aug;16.8;Y;;
2012-09-01 00:00;2012-10-01 00:00;12-sep;12.2;Y;;
2012-10-01 00:00;2012-11-01 00:00;12-okt;6.8;Y;;
2012-11-01 00:00;2012-12-01 00:00;12-nov;4.6;Y;;
2012-12-01 00:00;2013-01-01 00:00;12-dec;-3.0;Y;;
2013-01-01 00:00;2013-02-01 00:00;13-jan;-3.3;Y;;
2013-02-01 00:00;2013-03-01 00:00;13-feb;-1.3;Y;;
2013-03-01 00:00;2013-04-01 00:00;13-mar;-2.2;Y;;
2013-04-01 00:00;2013-05-01 00:00;13-apr;4.9;Y;;
2013-05-01 00:00;2013-06-01 00:00;13-maj;13.2;Y;;
2013-06-01 00:00;2013-07-01 00:00;13-jun;16.5;Y;;
2013-07-01 00:00;2013-08-01 00:00;13-jul;18.4;Y;;
2013-08-01 00:00;2013-09-01 00:00;13-aug;17.9;Y;;
2013-09-01 00:00;2013-10-01 00:00;13-sep;13.0;Y;;
2013-10-01 00:00;2013-11-01 00:00;13-okt;8.8;Y;;
2013-11-01 00:00;2013-12-01 00:00;13-nov;4.3;Y;;
2013-12-01 00:00;2014-01-01 00:00;13-dec;3.4;Y;;
2014-01-01 00:00;2014-02-01 00:00;14-jan;-1.5;Y;;
2014-02-01 00:00;2014-03-01 00:00;14-feb;2.3;Y;;
2014-03-01 00:00;2014-04-01 00:00;14-mar;4.5;Y;;
2014-04-01 00:00;2014-05-01 00:00;14-apr;7.5;Y;;
2014-05-01 00:00;2014-06-01 00:00;14-maj;11.1;Y;;
2014-06-01 00:00;2014-07-01 00:00;14-jun;14.2;Y;;
2014-07-01 00:00;2014-08-01 00:00;14-jul;20.7;Y;;
2014-08-01 00:00;2014-09-01 00:00;14-aug;17.5;Y;;
2014-09-01 00:00;2014-10-01 00:00;14-sep;13.6;Y;;
2014-10-01 00:00;2014-11-01 00:00;14-okt;9.5;Y;;
2014-11-01 00:00;2014-12-01 00:00;14-nov;5.5;Y;;
2014-12-01 00:00;2015-01-01 00:00;14-dec;0.5;Y;;
2015-01-01 00:00;2015-02-01 00:00;15-jan;0.9;Y;;
2015-02-01 00:00;2015-03-01 00:00;15-feb;1.3;Y;;
2015-03-01 00:00;2015-04-01 00:00;15-mar;3.9;Y;;
2015-04-01 00:00;2015-05-01 00:00;15-apr;7.4;Y;;
2015-05-01 00:00;2015-06-01 00:00;15-maj;10.2;Y;;
2015-06-01 00:00;2015-07-01 00:00;15-jun;14.6;Y;;
2015-07-01 00:00;2015-08-01 00:00;15-jul;17.0;Y;;
2015-08-01 00:00;2015-09-01 00:00;15-aug;18.3;Y;;
2015-09-01 00:00;2015-10-01 00:00;15-sep;13.5;Y;;
2015-10-01 00:00;2015-11-01 00:00;15-okt;8.1;Y;;
2015-11-01 00:00;2015-12-01 00:00;15-nov;5.0;Y;;
2015-12-01 00:00;2016-01-01 00:00;15-dec;4.1;Y;;
2016-01-01 00:00;2016-02-01 00:00;16-jan;-4.2;Y;;
2016-02-01 00:00;2016-03-01 00:00;16-feb;0.5;Y;;
2016-03-01 00:00;2016-04-01 00:00;16-mar;3.2;Y;;
2016-04-01 00:00;2016-05-01 00:00;16-apr;6.2;Y;;
2016-05-01 00:00;2016-06-01 00:00;16-maj;13.1;Y;;
2016-06-01 00:00;2016-07-01 00:00;16-jun;16.5;Y;;
2016-07-01 00:00;2016-08-01 00:00;16-jul;18.9;Y;;
2016-08-01 00:00;2016-09-01 00:00;16-aug;16.8;Y;;
2016-09-01 00:00;2016-10-01 00:00;16-sep;15.3;Y;;
2016-10-01 00:00;2016-11-01 00:00;16-okt;7.2;Y;;
2016-11-01 00:00;2016-12-01 00:00;16-nov;2.0;Y;;
2016-12-01 00:00;2017-01-01 00:00;16-dec;2.2;Y;;
2017-01-01 00:00;2017-02-01 00:00;17-jan;-0.3;Y;;
2017-02-01 00:00;2017-03-01 00:00;17-feb;0.2;Y;;
2017-03-01 00:00;2017-04-01 00:00;17-mar;3.3;Y;;
2017-04-01 00:00;2017-05-01 00:00;17-apr;5.0;Y;;
2017-05-01 00:00;2017-06-01 00:00;17-maj;11.3;Y;;
2017-06-01 00:00;2017-07-01 00:00;17-jun;15.2;Y;;
2017-07-01 00:00;2017-08-01 00:00;17-jul;17.4;Y;;
2017-08-01 00:00;2017-09-01 00:00;17-aug;17.0;Y;;
2017-09-01 00:00;2017-10-01 00:00;17-sep;13.1;Y;;
2017-10-01 00:00;2017-11-01 00:00;17-okt;8.0;Y;;
2017-11-01 00:00;2017-12-01 00:00;17-nov;3.8;Y;;
